iso,countryname,year,rGDP,nGDP,deflator,govdebt_GDP,govdef,cbrate,CA_GDP,USDfx
AUT,Austria,2006,244303.265625,266251.1875,1.0898388624191284,68.17655181884766,-6922.53076171875,1.9375,3.3141634464263916,0.7971680164337158
AUT,Austria,2007,268663.65625,282326.15625,1.0508534908294678,65.81310272216797,-3952.566162109375,2.9375,3.8246545791625977,0.730754017829895
AUT,Austria,2008,281301.5625,291601.03125,1.0366135835647583,69.5279541015625,-4665.61669921875,2.8125,4.523303508758545,0.6834989786148071
AUT,Austria,2009,266089,286054.9375,1.0750348567962646,80.75221252441406,-15446.966796875,0.3125,2.614532709121704,0.7189580202102661
AUT,Austria,2010,277960.15625,293699.875,1.0566258430480957,83.65410614013672,-13216.494140625,0.25,2.876065254211426,0.7558680176734924
AUT,Austria,2011,300583.59375,308204.375,1.0253533124923706,83.3560562133789,-7705.109375,0.4375,1.6407943964004517,0.7192069888114929
AUT,Austria,2012,310685.90625,316511.03125,1.0187492370605469,82.93562316894531,-6963.24267578125,0.125,1.492838978767395,0.7788479924201965
AUT,Austria,2013,314156.15625,320957.34375,1.0216491222381592,82.43083190917969,-6419.14697265625,0,1.749765157699585,0.7532340288162231
AUT,Austria,2014,326062.375,330183.90625,1.012640357017517,85.20984649658203,-6273.494140625,-0.125,2.396543264389038,0.753940999507904
AUT,Austria,2015,341871.75,341871.75,1,85.61466979980469,-1709.3587646484375,-0.22499999403953552,1.5780771970748901,0.9018959999084473
AUT,Austria,2016,363297.28125,355582.4375,0.9787643551826477,83.41911315917969,-5333.736328125,-0.4000000059604645,2.574930429458618,0.9038900136947632
AUT,Austria,2017,384685.375,367693.5,0.9558291435241699,79.05712890625,-2941.548095703125,-0.4000000059604645,1.26300847530365,0.8870390057563782
AUT,Austria,2018,410426.875,383190.6875,0.9336393475532532,74.586273193359375,766.38140869140625,-0.4000000059604645,0.846053957939148,0.8475819826126099
AUT,Austria,2019,431363.4375,395692.625,0.9173068404197693,71.00593566894531,1978.463134765625,-0.44999998807907104,2.3758339881896973,0.893409013748169
BEL,Belgium,1978,38781.5078125,79043.1640625,2.0381662845611572,63.75727844238281,-5946.078125,6,-0.6788486242294312,0.7806580066680908
